code;product;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12
AZ; Products of Agriculture, forestry and fishing ;715;730;818;713;768;630;508;489;578;651;762;871;781;734;842;781;836;694;572;537;561;674;711;811;837;776;889;804;796;645;568;481;598;668;713;857;771;799;854;856;788;696;556;506;642;734;738;891;782;769;902;825;775;767;523;492;598;640;786;851;742;811;929;818;867;745;540;533;624;646;757;880;797;783;883;799;889;753;614;610;659;731;788;820;829;830;908;891;883;770;621;641;723;873;902;966;943;968;975;962;906;813;740;686;782;861;914;971;853;907;1036;952;865;819;653;592;659;751;861;988;836;841;1055;1022;970;944;760;779;844;876;1036;1099;913;999;1091;1005;1072;820;735;769;790;860;940;1054;924;893;1049;968;1014;936;828;758;751;902;947;983;986;978;1063;1078;1122;981;937;757;841;917;933;1043;994;977;1059;1084;978;949;808;694;810;932;987;1112;999;1057;1121;1140;1051;1058;928;819;942;1012;1062;1112;1031;1153;1205;1150;1194;1117;949;949;1028;1079;1129;1399;1208;1276;1349;1234;1313;1128;957;884;941;1057;1162;1217;1167;1142;1264;1191;1258;1090;918;918;920;1087;1121;1250;1211;1241;1196;1252;1262;1041;1025;982;919;1155;1121;1298;1268;1290;1232;1207;1255;1223;1011;922;1003;1114;1154;1298;1209;1225;1539;1482;1381;1292;1186;1086;1189;1218;1353;1490
BZ ; Natural hydrocarbons and other mining and quarrying ;1887;1929;2102;1831;2138;1954;1896;2419;2336;2595;2620;2709;2350;2159;2044;2125;2421;2383;2143;2163;2059;2049;1833;2019;1942;1854;1885;2016;2086;2040;2066;1855;1947;2008;1887;2039;2261;2231;2056;2185;1777;1770;2048;1963;1980;2093;2055;2280;2239;2064;2261;2128;2213;2283;2295;2741;2448;3024;2691;2637;2692;2538;3255;3248;2931;2665;3434;3829;3315;3231;3957;4117;4265;3663;4059;3881;3918;3819;3964;4419;3515;3736;3967;3962;3375;3378;3202;3735;3774;3519;4227;3789;3794;3928;4397;4753;5264;4645;4052;5176;4763;5778;6364;5905;5308;5156;4625;3863;3083;3000;3262;3273;3084;3188;3414;3062;2872;3037;3267;3341;2985;3168;3901;3956;3997;3756;4102;3885;3553;2201;4151;4160;4651;4821;5150;4141;5126;4683;4532;4901;4707;5132;5051;5233;5253;5275;4540;5038;4476;4735;5106;5578;3854;5504;5209;4407;5060;4854;4353;5065;5131;4009;5123;4306;4524;4218;4203;4681;5040;3411;3936;4164;3958;3636;4443;3531;3594;4282;3058;3715;3097;2720;3889;3159;3050;2967;3063;2449;2632;3057;2437;2792;2074;1950;2243;2108;1901;1498;2605;2491;2274;2728;2952;2939;3437;3082;2852;2830;3063;2569;2476;2778;2507;2971;3545;3384;3791;3183;3065;2959;2869;3283;3630;3429;3836;4366;3485;3001;3703;2768;3829;3503;3424;2879;3321;3068;2267;2797;2664;2675;2223;2065;1693;1319;1338;1343;1608;1582;1519;1481;1777;1497;1960;1797;2468;2360;2343;2513;3138;3381;3326;3702;4391;4461
CA; Agri;1434;1549;1738;1549;1898;1760;1703;1735;1798;1927;1915;1789;1809;1650;1785;1725;1931;1896;1877;1801;1784;2048;1917;1804;1808;1731;1905;1966;1895;1909;1906;1686;1896;2039;1936;1915;1825;1724;1896;1817;1823;1901;1884;1724;2028;2091;1862;1909;1714;1706;2065;1931;1841;2113;1922;1848;2037;1970;2071;2070;1719;1810;2034;1945;2041;2087;1886;1995;2149;2095;2143;2123;1927;1869;2194;1952;2172;2201;2007;2135;2185;2363;2315;2155;2081;2056;2311;2217;2273;2395;2300;2289;2342;2676;2608;2204;2494;2467;2483;2566;2507;2545;2580;2328;2796;2928;2563;2527;2289;2275;2624;2513;2357;2514;2433;2291;2506;2586;2456;2511;2176;2142;2662;2510;2501;2752;2527;2543;2745;2619;2817;2739;2531;2594;3107;2749;3071;2934;2756;2882;3048;2987;3034;2878;2811;2759;3099;2868;2963;3050;2968;2931;2982;3390;3182;2923;2996;2907;3042;3232;3181;3058;3214;2927;3166;3460;3126;3107;2997;2958;3124;3168;3093;3211;3269;2842;3353;3414;3046;3199;2968;2938;3359;3297;3044;3438;3287;3005;3377;3494;3271;3290;3055;3136;3302;3266;3269;3429;3052;3299;3494;3412;3421;3412;3256;3128;3675;3207;3693;3644;3411;3562;3610;3786;3691;3329;3522;3206;3602;3459;3585;3569;3616;3496;3472;3828;3690;3280;3524;3356;3631;3629;3727;3397;3776;3426;3600;3973;3500;3395;3428;3444;3576;3238;3157;3650;3659;3415;3801;3707;3388;3412;3153;3311;3989;3736;3711;4088;3795;3843;4062;4037;4104;4189
CB; Textiles, clothing, leather and footwear ;1843;2077;2065;1584;1800;1957;2178;2071;1996;1961;1871;1777;2259;2167;2170;1812;1948;2188;2529;2116;1982;1987;1833;1675;2368;2194;2035;1924;1861;2071;2564;2000;2026;1949;1756;1823;2328;2142;2098;1822;1680;2067;2495;1911;2048;1847;1676;1856;2186;2163;2225;1818;1679;2186;2347;2080;2060;1823;1890;1998;2169;2208;2288;1839;1869;2236;2436;2255;2248;1871;1935;2058;2398;2315;2323;1801;1984;2306;2547;2400;2266;2056;2076;2016;2514;2453;2366;1902;2027;2381;2805;2454;2258;2282;2179;2018;2612;2589;2192;2018;1879;2326;2874;2269;2425;2163;2032;2212;2510;2373;2159;1820;1793;2327;2667;2138;2155;1949;1929;2050;2270;2240;2348;1890;1951;2645;2864;2659;2607;2224;2333;2453;2624;2703;2714;2174;2449;2776;2965;2915;2615;2295;2253;2364;2893;2737;2383;2099;2237;2725;3106;2751;2592;2601;2358;2415;2960;2665;2460;2214;2273;2582;3253;2746;2829;2622;2427;2586;3032;2784;2635;2355;2399;2899;3418;2823;3051;2816;2543;2880;3125;3021;3084;2456;2437;3306;3638;3097;3140;2919;2756;3128;3199;3219;2994;2584;2727;3218;3373;3361;3113;2856;2886;3109;3343;3061;3265;2475;3010;3299;3550;3416;3283;3031;3176;3022;3648;3190;3125;2711;2989;3227;3838;3472;3191;3433;3312;3084;3740;3290;3150;3004;3131;3299;4107;3381;3391;3588;3329;3242;3611;3300;2353;2044;3688;4168;4164;3770;3920;3479;2890;3313;3073;2944;3274;2636;2887;3406;3494;3355;3542;3515;3679;3667
CC; Wood, paper and cardboard ;902;948;1074;927;1093;1048;1002;942;1075;1098;1111;967;1057;1029;1153;1018;1090;1017;996;809;938;1012;947;786;931;915;1018;1017;993;1011;1030;792;990;1033;941;866;993;960;1019;995;950;974;971;732;982;1019;884;873;931;943;1098;1006;945;1055;914;812;996;978;968;917;956;952;1042;1016;1023;1034;925;860;1043;1023;1026;953;1027;979;1113;963;1066;1086;973;913;1049;1127;1094;969;1102;1076;1221;1092;1166;1210;1152;1010;1128;1236;1150;977;1181;1196;1153;1201;1069;1185;1113;875;1140;1175;1008;954;962;963;1030;969;902;999;957;790;997;1013;998;925;946;962;1110;1078;1054;1181;1081;943;1146;1080;1110;1011;1051;1111;1254;1096;1235;1174;1096;986;1153;1107;1086;1001;1105;1079;1132;1079;1122;1160;1104;928;1039;1102;1056;909;1071;1011;1055;1101;1060;1058;1084;866;1054;1139;999;922;1073;1031;1080;1068;1016;1073;1090;837;1081;1115;954;947;1029;1018;1165;1080;987;1130;1078;888;1085;1105;1032;978;1022;1081;1122;1095;1066;1132;1007;928;1076;1043;1050;976;1067;1051;1205;1020;1155;1153;1086;986;1123;1176;1130;969;1172;1114;1205;1149;1174;1200;1182;1033;1134;1269;1180;980;1182;1159;1207;1220;1200;1141;1257;958;1151;1243;1127;987;1139;1150;1091;913;944;1101;1132;936;1128;1159;1101;1021;1049;1090;1269;1191;1171;1352;1285;1173;1424;1402;1440;1347
CD; Manufacture of coke and refined petroleum products ;609;502;667;516;568;744;612;559;621;843;779;581;558;658;598;551;560;662;537;642;518;522;450;499;636;586;625;636;506;520;573;618;615;623;510;712;676;724;857;728;495;428;539;577;461;568;469;612;603;404;608;670;682;892;811;735;990;1043;878;1090;869;1049;1464;997;992;1075;1183;1410;1292;1389;1598;1032;1565;1532;1703;1432;1461;1344;1447;1340;1237;1094;1268;1304;1187;1187;1128;1578;1006;1089;1232;1328;1281;1648;1610;1766;1967;1620;2151;1411;1751;1932;1770;1683;1525;1687;1479;1348;1249;1174;1360;934;932;1097;1046;1223;1124;1252;1510;1553;1529;1396;1812;1472;1524;1488;1499;1644;1618;1734;2541;2049;2335;1944;2280;2609;2066;2073;2162;2065;2203;2433;2312;1969;2570;2627;3346;2831;2617;2395;2332;2913;2597;2696;2468;2849;2915;2433;2550;2347;2229;2005;2573;2133;2453;2832;2494;2580;3093;2110;2116;2366;2352;2206;2584;2339;2281;2045;1942;1836;1658;1179;1994;1781;1666;1913;1916;1609;1644;1630;1368;1474;1121;990;1087;1125;1496;1597;1374;1335;1286;1154;1297;1619;1524;1884;1685;1343;1573;1232;1572;1285;1448;1637;1599;1662;1747;1512;1600;2055;2286;2248;1922;2120;1732;2058;1734;1805;1856;1746;1983;2074;2207;2033;1919;1885;1847;2073;2085;1890;2374;1854;1705;654;933;1310;1180;1274;1007;1285;880;1352;1820;1736;1611;1776;1857;1842;1748;2113;1892;2523;2629;2235
CE; Chemicals, perfumes and cosmetics ;2292;2440;2825;2328;2603;2515;2342;2191;2608;2694;2824;2408;2717;2682;2856;2590;2553;2705;2525;2146;2351;2558;2617;2103;2448;2499;2623;2634;2430;2586;2580;2074;2450;2758;2465;2211;2600;2534;2908;2525;2434;2604;2490;1902;2577;2701;2384;2333;2435;2482;3051;2563;2461;2756;2406;2242;2763;2845;2868;2652;2743;2880;3021;3008;2949;3031;2583;2475;2984;3015;3025;2930;2983;2897;3247;3112;3127;3187;2854;2588;2965;3312;3551;3044;3329;3249;3574;3354;3455;3595;3328;2969;3132;3583;3521;3002;3520;3680;3675;3620;3410;3602;3774;2873;3719;3634;3270;2715;2823;2786;2968;2679;2464;2760;2864;2238;2883;3019;2912;2879;2815;3030;3658;3222;3000;3560;3390;3324;3420;3306;3368;3270;3650;3966;4169;3546;3947;3776;3610;3341;3932;3398;3596;3518;3802;3799;4200;3739;3761;3939;3839;3215;3730;3939;3806;3198;3723;3731;3646;3753;3640;3600;3813;2861;3428;3628;3261;3099;3624;3623;3683;3658;3291;3600;3632;2851;3499;3583;3312;3355;3655;3499;3771;3498;3295;3886;3794;3052;3570;3542;3529;3203;3668;3645;3735;3440;3316;3625;3227;2923;3401;3210;3504;3290;3767;3681;4095;3443;3672;3781;3916;3169;3727;3661;3784;3399;3953;3789;3934;3750;3762;4005;3857;3458;3645;4116;3885;3280;3982;3916;4008;3809;3869;3742;3784;3197;3657;3914;3569;3219;3704;3756;3727;3254;2954;3366;3378;2845;3485;3606;3598;3406;3566;3761;4468;4207;3944;4459;4302;3858;4526;4425;4593;4686
CF; Pharmaceutical products ;732;965;961;802;951;874;755;786;1064;1025;959;798;1006;926;1085;941;937;990;931;1002;1002;1166;1117;940;1093;1077;1199;1139;1067;1182;1213;960;1224;1193;1217;1059;1181;1172;1307;1053;1068;1223;1089;780;1158;1296;1153;1139;1169;1172;1337;1290;1133;1328;1165;1108;1331;1263;1287;1167;1258;1284;1386;1396;1291;1341;1199;1041;1341;1359;1379;1272;1299;1300;1410;1158;1311;1368;1403;1266;1361;1558;1579;1237;1521;1515;1565;1367;1419;1546;1544;1433;1594;1564;1548;1178;1540;1373;1545;1625;1473;1568;1631;1449;1879;1822;1695;1588;1653;1799;1894;1749;1643;1871;1707;1509;2010;1845;2061;1933;1821;1813;2166;2188;1788;1936;2008;1676;2069;1868;1947;1904;1991;1988;2242;1947;2058;1886;1707;1791;2139;1922;2009;2011;1899;2121;2418;1944;2192;2130;2262;2127;2441;2139;2243;2014;2226;1999;2159;2104;2188;2040;2148;1879;2091;2353;1876;1887;2054;1887;2653;2171;1945;2152;2084;1690;2472;2563;2631;2184;2009;2060;2236;2169;1843;2233;2023;1727;2185;2214;2503;2528;1959;2053;2220;2029;2007;2257;1877;2145;2196;2133;2274;2225;2789;1995;2400;2164;2257;2091;1993;1928;1985;2636;2211;1854;2153;2222;2441;2249;2101;2256;1986;1883;1961;2399;2202;2180;2335;2547;2337;2116;2336;2069;2409;1920;2239;2755;2321;2081;2636;2419;3151;2917;2381;2584;2551;2090;2375;2497;2252;2402;2241;2189;2961;2723;2658;3175;2691;2480;2807;2832;3012;2879
CG; Rubber and plastic products, miscellaneous minerals ;1103;1221;1376;1158;1358;1315;1250;1042;1294;1350;1327;1128;1289;1279;1431;1292;1384;1407;1338;1088;1226;1378;1281;1039;1284;1258;1361;1396;1349;1382;1402;1022;1325;1402;1261;1083;1293;1284;1406;1372;1284;1418;1381;988;1374;1427;1239;1137;1296;1360;1534;1424;1339;1573;1404;1077;1462;1444;1410;1297;1384;1411;1555;1515;1530;1600;1427;1186;1576;1492;1528;1336;1500;1475;1727;1505;1666;1712;1525;1290;1621;1699;1649;1416;1660;1636;1832;1759;1790;1924;1812;1462;1700;1916;1787;1475;1796;1836;1821;1952;1813;1909;1892;1369;1879;1904;1580;1394;1512;1505;1629;1550;1446;1663;1575;1218;1654;1695;1583;1414;1519;1619;1863;1766;1750;2001;1783;1493;1893;1825;1861;1656;1757;1867;2138;1907;2144;2040;1894;1627;1969;1914;1919;1682;1935;1941;2070;1931;1962;2060;2013;1614;1854;2068;1865;1516;1898;1836;1919;1997;1964;2005;2084;1524;1953;2090;1863;1615;1940;1946;2040;2039;1954;2076;2109;1488;2033;2083;1801;1654;1931;1953;2221;2051;1921;2255;2119;1627;2088;2131;1959;1776;1928;2106;2174;2115;2094;2253;1950;1697;2128;2028;2058;1797;2085;2051;2420;2050;2321;2313;2186;1866;2178;2309;2212;1849;2256;2166;2411;2254;2283;2390;2354;1857;2155;2426;2228;1822;2269;2243;2390;2393;2398;2294;2474;1840;2304;2463;2136;1799;2203;2266;1961;1432;1710;2230;2303;1842;2304;2366;2268;1979;2191;2339;2734;2567;2528;2715;2537;2163;2605;2593;2647;2404
CH; Steel and metal products ;1842;2137;2439;2068;2510;2269;2115;1572;2360;2515;2367;1990;2269;2116;2381;2104;2321;2210;2163;1552;2052;2218;2024;1537;1905;1994;2044;2168;2146;2135;2162;1386;2157;2222;2055;1651;1968;2006;2135;2086;2036;2077;2070;1214;2178;2263;1988;1770;2016;2221;2602;2442;2283;2707;2396;1686;2623;2547;2542;2225;2461;2563;2797;2671;2680;2776;2443;1713;2728;2586;2653;2397;2883;2894;3139;2767;3463;3420;3037;2421;3432;3643;3489;2787;3517;3521;3774;3455;3767;3962;3762;2619;3579;3835;3531;2661;3487;3611;3484;4004;3613;3849;3819;2332;3811;3639;2847;2210;2456;2409;2409;2287;1988;2368;2296;1693;2642;2691;2545;2119;2367;2646;3105;2994;2980;3403;2903;2157;3239;3092;3199;2830;3179;3532;3992;3532;3860;3593;3320;2494;3414;3288;3218;2468;3110;3513;3545;3341;3298;3304;3164;2245;3094;3348;3043;2277;3001;3202;3200;3309;3111;3234;3197;2077;3104;3319;2933;2417;3009;2999;3162;3129;2932;3074;3241;1962;3213;3158;2870;2413;2795;3018;3417;3227;2959;3440;3152;2095;3199;3252;2929;2499;2722;3035;3126;3028;2994;3125;2719;2160;3057;2905;2946;2564;3169;3151;3756;3156;3600;3514;3169;2363;3232;3561;3494;2721;3436;3533;3725;3439;3506;3748;3554;2691;3437;3784;3494;2718;3515;3474;3663;3637;3612;3410;3694;2420;3426;3661;3224;2572;3421;3412;2924;2033;2242;2795;2918;2119;3137;3275;3124;2756;3149;3429;3985;3908;3663;4286;3995;3074;4205;4314;4303;3828
