code;product;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12
AZ; Products of Agriculture, forestry and fishing ;905;946;1055;877;941;767;713;782;763;903;883;881;875;886;896;787;893;805;746;716;712;792;813;790;968;927;1032;916;773;733;703;756;828;933;900;952;1029;931;1047;956;838;803;801;776;826;916;787;863;879;916;1058;929;802;802;752;786;830;873;877;913;931;981;1155;940;823;808;676;734;815;803;880;924;966;964;1149;891;904;852;694;789;851;906;952;939;1132;1111;1244;1032;906;878;891;894;852;953;993;984;1207;1345;1234;1335;1087;1093;1087;981;1105;1188;1049;1152;1051;1120;1284;1062;884;916;828;806;855;937;829;936;957;1075;1300;1107;995;1075;957;941;1190;1151;1298;1285;1266;1488;1821;1375;1386;1166;1065;1122;1192;1372;1326;1221;1279;1203;1542;1178;1146;1045;959;1196;1110;1510;1380;1388;1650;1672;1772;1503;1333;1127;1083;1172;1141;1268;1177;1328;1464;1428;1433;1249;1057;1079;1070;951;1048;1297;1208;1240;1352;1487;1612;1436;1176;1282;1204;1113;1154;1135;1201;1315;1341;1458;1619;1336;1293;1171;975;928;919;918;1044;1104;1188;1214;1433;1127;1102;1076;966;1070;1004;1110;1231;1200;1327;1373;1455;1349;1230;1144;1066;1063;988;1230;1245;1267;1424;1470;1695;1587;1196;1037;1156;997;1082;1289;1245;1348;1518;1600;1765;1579;1146;1245;1059;946;972;1163;1195;1243;1309;1471;1729;1380;1179;1137;1075;1212;1229;1431;1667;1664
BZ ; Natural hydrocarbons and other mining and quarrying ;48;52;71;54;58;55;63;52;56;69;56;45;52;60;76;76;60;54;51;43;58;62;52;45;66;79;73;69;62;62;64;49;59;63;64;56;62;75;79;86;92;64;78;48;65;80;66;87;90;100;103;83;72;83;73;63;63;78;87;82;156;164;180;177;168;147;162;142;144;171;171;193;229;230;245;159;209;150;173;161;188;199;212;228;235;224;237;156;182;198;196;152;167;184;234;247;280;279;268;254;208;216;188;165;230;261;295;307;282;248;222;136;95;119;129;96;125;168;164;186;179;193;216;189;203;195;136;79;81;110;116;175;210;208;317;233;151;178;214;272;300;247;317;367;285;369;266;299;292;229;259;257;191;157;188;344;203;227;167;186;183;161;249;187;191;192;234;329;187;196;184;164;211;198;214;264;308;287;340;373;308;252;201;109;144;100;162;104;125;151;245;252;168;142;142;98;85;68;92;65;220;132;170;184;202;132;142;149;203;199;184;143;136;251;224;243;303;296;151;184;216;204;196;120;282;200;197;253;340;315;322;286;315;247;266;196;204;249;141;157;268;206;184;162;155;129;151;150;122;94;94;136;235;132;131;159;95;108;186;170;323;270;498;574
CA; Agrifood industries products (Agrifood industries) ;1847;1999;2344;2082;2418;2256;2126;2159;2517;2909;2905;2372;2056;2065;2331;2202;2364;2342;2260;2136;2412;2863;2789;2227;2162;2168;2376;2395;2314;2304;2432;2117;2567;2969;2815;2372;2224;2166;2379;2469;2201;2300;2457;2098;2688;2947;2655;2446;2087;2166;2558;2422;2245;2572;2347;2178;2714;2704;2781;2529;2038;2163;2497;2377;2396;2539;2343;2404;2695;2817;2995;2681;2323;2381;2922;2471;2698;2753;2485;2562;2830;3063;3191;2671;2488;2542;2878;2652;2829;2919;2892;2769;2950;3533;3356;2769;2823;2933;2893;3109;2870;2979;3191;2640;3279;3477;3027;2901;2384;2420;2735;2712;2531;2818;2804;2420;2972;3079;3037;2945;2363;2562;3145;2892;2792;3163;3009;2799;3269;3372;3578;3433;2831;3022;3654;3236;3525;3297;3278;3288;3719;3847;3935;3556;3211;3276;3746;3452;3665;3695;3654;3447;3606;4230;4022;3344;3425;3306;3523;3720;3657;3626;3849;3358;3725;4282;3847;3631;3384;3359;3582;3727;3453;3459;3819;3185;3816;4269;3756;3687;3234;3334;3859;3808;3327;3885;3874;3330;4123;4159;3978;3798;3210;3463;3785;3631;3518;3841;3598;3592;4062;4078;4093;3896;3525;3478;4149;3744;3996;4083;3803;3908;4114;4464;4439;3811;3663;3621;4085;3856;3894;4133;4124;3836;3893;4623;4286;3656;3797;3768;4045;4166;4199;3837;4359;3805;4209;4733;4145;3786;3758;3727;3943;3410;3269;3884;4172;3574;4083;4488;4260;4033;3523;3744;4584;4478;4351;4801;4454;4287;4707;4882;4920;4610
CB; Textiles, clothing, leather and footwear ;1190;1404;1521;1188;1284;1264;1356;1111;1437;1473;1381;1140;1364;1537;1657;1330;1261;1356;1545;1156;1377;1551;1295;1006;1403;1507;1549;1386;1216;1277;1552;1153;1465;1547;1259;1069;1422;1501;1538;1315;1089;1181;1505;1047;1401;1451;1152;1076;1328;1429;1566;1270;1067;1291;1460;1087;1473;1360;1227;1148;1291;1425;1506;1284;1129;1324;1461;1206;1544;1329;1286;1201;1383;1495;1719;1223;1227;1408;1461;1331;1587;1431;1371;1198;1452;1539;1726;1252;1254;1435;1667;1431;1613;1565;1397;1192;1505;1676;1501;1414;1153;1323;1668;1309;1547;1496;1239;1258;1351;1362;1474;1198;1059;1266;1514;1147;1358;1288;1189;1205;1269;1451;1566;1276;1088;1452;1577;1272;1541;1455;1415;1421;1467;1561;1766;1367;1390;1484;1672;1507;1661;1485;1471;1501;1600;1682;1752;1375;1387;1652;1860;1589;1537;1758;1623;1426;1719;1707;1676;1509;1416;1621;1888;1464;1636;1807;1590;1613;1687;1763;1744;1567;1456;1705;1972;1524;1726;1875;1683;1759;1771;1825;1963;1710;1586;1947;2106;1633;1899;1957;1848;1993;1850;1957;1994;1776;1762;2037;2025;1828;1949;1967;1984;2002;1976;1981;2164;1678;1953;2161;2167;1885;1996;2113;2150;2042;2240;2081;2218;1931;2042;2205;2394;2064;2021;2436;2460;2156;2439;2291;2357;2266;2353;2280;2745;2140;2181;2667;2502;2258;2472;2285;1672;815;1367;2222;2496;2076;2357;2538;2319;2479;2094;2184;2549;2321;2246;2581;2565;2277;2516;2624;2785;2906
CC; Wood, paper and cardboard ;648;684;758;655;787;771;704;625;749;817;780;693;759;707;775;687;743;818;737;594;705;800;728;564;710;686;709;750;716;734;769;566;737;780;695;620;745;677;728;711;682;711;731;528;725;776;676;641;693;677;766;703;672;777;722;551;730;727;743;680;691;677;724;716;709;781;709;612;752;738;767;694;735;713;830;693;780;821;733;644;764;811;791;681;780;743;817;740;782;846;816;655;774;851;802;653;809;806;765;816;751;789;806;578;770;792;664;603;620;619;655;623;589;673;716;479;688;683;657;608;627;641;721;690;661;740;720;565;741;715;724;648;689;687;808;688;770;745;726;627;751;696;704;642;704;676;731;645;698;776;744;600;676;764;699;572;689;649;676;684;677;698;768;552;695;747;671;603;710;648;676;682;682;729;771;539;725;756;668;627;678;667;730;729;676;810;772;544;732;745;702;657;685;711;740;712;720;769;728;596;724;700;728;653;697;687;778;674;760;805;742;607;728;781;765;654;752;711;772;724;741;821;815;638;722;825;775;645;757;735;780;754;766;748;806;571;692;788;696;597;685;663;699;602;605;689;698;518;680;690;693;627;645;678;769;740;734;840;794;635;824;840;873;808
CD; Manufacture of coke and refined petroleum products ;380;401;432;451;457;491;472;504;527;612;649;501;478;461;442;458;498;401;361;422;394;431;426;372;326;364;408;379;401;413;339;344;361;414;314;484;470;451;411;353;410;345;385;358;390;432;407;522;419;404;470;390;409;483;571;475;530;586;484;538;459;549;628;657;666;788;754;824;878;842;996;879;929;857;843;841;975;1001;877;985;965;925;919;829;783;716;746;829;942;890;969;900;877;908;977;955;1106;1097;1121;1079;1511;1372;1562;1256;1520;1182;883;625;544;701;612;603;717;865;796;684;726;696;623;783;600;777;946;1044;850;833;902;959;825;521;892;1050;1036;1102;1143;1032;1210;1203;944;1143;1068;1039;1120;1092;1278;1320;1115;930;1007;1017;1040;1331;1011;1376;1191;1072;1057;1237;866;1110;1048;922;998;974;915;900;985;987;1043;936;959;888;844;947;1029;886;1081;950;934;718;678;595;920;794;746;797;713;596;667;712;677;645;447;473;568;582;542;440;642;612;561;622;649;828;714;659;712;666;643;608;621;626;843;828;803;851;811;764;765;701;735;705;967;912;825;1067;734;946;648;819;788;782;692;597;719;597;785;544;623;602;535;534;378;277;220;300;412;328;383;367;468;423;350;435;561;555;447;482;589;717;503;703;723;794
CE; Chemicals, perfumes and cosmetics ;2727;3081;3350;2886;3137;2977;2990;2856;3126;3300;3262;2763;3056;3144;3486;3091;3158;3193;3147;2790;2855;3258;2992;2345;3220;2991;3232;3362;3058;2983;3113;2642;3117;3321;2962;2780;3132;3216;3348;3243;2993;3121;3177;2438;3055;3214;2927;2812;3053;3095;3540;3260;3011;3455;3417;2870;3410;3382;3395;2978;3172;3381;3707;3480;3432;3609;3219;3108;3666;3519;3587;3254;3592;3741;4366;3779;3809;3937;3519;3386;3702;3956;3827;3290;3898;3894;4414;3783;3775;3969;4117;3665;3805;4381;3874;3445;4340;4450;4129;4462;3914;4177;4513;3600;4314;4347;3419;3004;3195;3337;3703;3350;3145;3453;3730;2927;3635;3687;3399;3110;3483;3733;4412;3994;3757;4236;4164;3649;4155;3680;3962;3726;4009;4315;5135;4326;4608;4261;4271;4248;4588;4145;4197;3704;4587;4410;5015;4432;4346;4693;4534;4122;4064;4658;4290;3489;4606;4298;4586;4488;4219;4276;4637;3939;4181;4464;4044;3640;4555;4416;4654;4478;4265;4426;4768;3743;4536;4647;4160;4025;4349;4585;5022;4656;4053;4790;4836;3816;4382;4500;4288;4004;4459;4609;4630;4391;4018;4401;4211;4045;4327;4206;4379;4140;4570;4640;5454;4544;4820;4899;4643;4353;4757;4787;4770;4275;5138;4722;5337;4799;4713;5023;4943;4563;4564;5399;4894;4111;5267;5176;5510;5048;5048;4771;5356;4446;4802;5288;4693;4141;5044;4936;5178;4012;3550;4153;4475;3878;4649;4785;4848;4438;4819;4954;5942;5284;5062;6363;5342;4966;5802;5975;5788;5537
CF; Pharmaceutical products ;983;1035;1081;918;1051;1088;1067;965;1024;1396;1220;1199;1127;1168;1543;1160;1187;1284;1367;1124;1192;1416;1410;1180;1478;1396;1439;1437;1235;1359;1607;1208;1332;1506;1435;1230;1547;1331;1415;1553;1311;1395;1571;1248;1384;1617;1393;1398;1487;1410;1671;1505;1366;1544;1470;1309;1474;1663;1570;1588;1531;1433;1570;1644;1534;1655;1591;1498;1634;1786;1790;1676;1652;1685;1887;1646;1751;1845;1748;1619;1692;1933;1850;1727;1866;1690;1931;1776;1692;1880;1968;1675;1797;2087;1856;1651;1940;2045;1844;2034;1722;2091;2086;1673;2087;2253;2062;1965;2023;1960;2313;2108;1870;2244;2339;1828;2119;2390;2212;2196;2332;2419;2510;2284;2094;2544;2568;2049;2061;2261;2224;1949;1989;2068;2388;2135;2176;2242;2075;1972;2137;2085;2173;2130;2273;2205;2598;2406;2316;2596;2519;2158;2389;2754;2605;2074;2547;2581;2472;2585;2458;2611;2704;2055;2378;2792;2336;2036;2164;2363;2366;2381;2155;2390;2688;2058;2556;2640;2114;2401;2347;2395;2734;2588;2189;2692;2455;1928;2492;2523;2325;2513;2159;2194;2490;2690;2621;2680;2460;2234;2390;2554;2475;2336;2277;2367;2868;2549;2627;2525;2457;2092;2343;2797;2469;2277;2314;2186;3104;2371;2218;2663;2987;2282;2207;3066;2645;2418;2639;2452;2746;2675;2936;2705;3482;2411;2978;3336;2534;2762;2830;2665;3874;2927;2567;2945;3004;2195;3195;3011;3047;2956;3102;2699;3075;2770;2518;3275;2820;2669;3022;2905;3275;3066
CG; Rubber and plastic products, miscellaneous minerals ;1088;1198;1381;1149;1320;1254;1201;1011;1271;1357;1298;1073;1207;1226;1393;1223;1312;1305;1294;1014;1196;1376;1231;983;1195;1225;1316;1309;1261;1277;1328;973;1276;1410;1248;1038;1247;1212;1309;1305;1202;1268;1314;914;1310;1408;1217;1089;1199;1246;1475;1351;1265;1445;1339;996;1381;1375;1320;1172;1223;1265;1424;1355;1310;1454;1290;1088;1422;1382;1397;1190;1319;1334;1580;1306;1437;1575;1397;1184;1479;1583;1504;1240;1464;1448;1658;1472;1540;1637;1572;1269;1499;1693;1588;1223;1539;1591;1538;1716;1460;1518;1593;1134;1556;1593;1294;1093;1162;1172;1292;1232;1135;1271;1318;947;1304;1341;1230;1049;1146;1264;1482;1392;1270;1620;1526;1173;1454;1463;1433;1279;1387;1457;1682;1450;1594;1510;1476;1224;1529;1494;1473;1274;1430;1503;1652;1433;1457;1590;1538;1258;1451;1611;1459;1154;1454;1431;1511;1542;1462;1524;1603;1174;1472;1616;1395;1203;1481;1460;1568;1575;1428;1522;1586;1119;1523;1605;1374;1258;1442;1476;1632;1622;1409;1689;1629;1183;1586;1629;1489;1335;1445;1559;1678;1626;1525;1689;1494;1266;1577;1549;1538;1318;1509;1534;1833;1492;1630;1745;1566;1356;1632;1733;1667;1350;1649;1595;1788;1641;1640;1770;1699;1374;1558;1796;1673;1285;1647;1666;1805;1715;1712;1648;1776;1326;1645;1843;1577;1318;1613;1627;1565;1083;1172;1487;1594;1194;1639;1682;1598;1389;1511;1606;1881;1735;1632;1858;1713;1415;1778;1770;1769;1581
CH; Steel and metal products ;1759;1996;2088;1811;2183;1973;1963;1449;2025;2243;2184;1812;2024;1917;2243;1968;2196;2112;2093;1392;1848;2173;1944;1531;1851;1904;2003;2009;1968;2143;2168;1395;2011;2185;1949;1602;1947;1932;1999;2033;1890;1972;2021;1174;2056;2140;1861;1706;1850;1957;2264;2129;2015;2345;2166;1411;2273;2268;2230;1945;2092;2185;2376;2295;2340;2422;2245;1572;2434;2403;2494;2183;2464;2485;2892;2480;2762;2959;2623;1889;2835;3061;2974;2483;2888;2853;3272;2935;2982;3302;3082;1948;2818;3337;3018;2439;2989;3133;3096;3401;2900;3373;3382;2023;3248;3172;2595;2167;2097;2048;2116;1948;1966;2216;2305;1372;2233;2336;2193;1888;1958;2129;2599;2520;2519;2839;2591;1821;2664;2709;2878;2302;2607;2660;3064;2754;3176;2937;2875;1987;2940;2855;2976;2411;2760;2888;2979;2728;2709;2952;2857;1919;2531;2940;2682;2068;2606;2535;2598;2726;2526;2581;2746;1686;2522;2769;2492;1963;2453;2433;2618;2572;2431;2523;2741;1691;2603;2809;2362;2077;2463;2384;2771;2733;2385;2830;2654;1654;2767;2648;2421;2056;2248;2461;2526;2370;2257;2606;2273;1728;2486;2431;2428;2064;2489;2516;2902;2528;2754;2842;2668;1935;2648;2966;2838;2268;2742;2663;2945;2646;2755;2923;2918;1989;2669;3027;2892;2110;2818;2676;2816;2797;2841;2600;2827;1914;2598;2912;2573;1977;2537;2534;2165;1586;1713;2109;2298;1453;2374;2430;2343;2127;2318;2438;2879;2699;2642;3009;2989;2144;2945;3297;3222;2786
